ÖZELLİK,LINEO 100,LINEO 125,LINEO 150,LINEO 200,LINEO 250,LINEO 315
Ürün Kodu,17160,17161,17162,17164,17165,17166
Çap (mm),100,125,150,200,250,315
,,,,,,
ELEKTRİKSEL ÖZELLİKLER,,,,,,
Voltaj (V),220-240,220-240,220-240,220-240,220-240,220-240
Frekans (Hz),50-60,50-60,50-60,50-60,50-60,50-60
Hız Sayısı,3,3,3,3,3,3
Motor Tipi,AC İndüksiyon,AC İndüksiyon,AC İndüksiyon,AC İndüksiyon,AC İndüksiyon,AC İndüksiyon
İzolasyon Sınıfı,F,II,F,F,F,F
IP Koruma,IP45,IP45,IPX5,IPX5,IPX5,IPX5
Max Sıcaklık (°C),45,45,55,50,50,50
,,,,,,
PERFORMANS - MİNİMUM HIZ (50Hz),,,,,,
Güç (W),11,11,24,80,95,215
Akım (A),0.09,0.09,0.14,0.34,0.42,0.95
Debi (m³/h),150,190,255,805,960,2070
Debi (l/s),41.7,52.8,70.8,223.6,266.7,575
Max Basınç (Pa),88.3,78.5,103,202,198.1,-
,,,,,,
PERFORMANS - ORTA HIZ (50Hz),,,,,,
Güç (W),24,24,37,95,125,270
Akım (A),0.11,0.11,0.17,0.42,0.55,1.15
Debi (m³/h),200,250,350,1045,1340,2530
Debi (l/s),55.6,69.4,97.2,290.3,372.2,702.8
Max Basınç (Pa),112.8,98.1,152,257.9,297.2,424.6
,,,,,,
PERFORMANS - MAKSİMUM HIZ (50Hz),,,,,,
Güç (W),27,27,50,110,150,360
Akım (A),0.13,0.13,0.22,0.49,0.65,1.55
Debi (m³/h),260,320,510,1160,1550,2890
Debi (l/s),72.2,88.9,141.7,322.2,430.6,802.8
Max Basınç (Pa),147.1,137.3,210.9,284.4,339.3,-
,,,,,,
SES SEVİYELERİ,,,,,,
Işınımlı Ses Min Hız (dB),36.2,36.2,37.1,51.6,49.5,58.5
Işınımlı Ses Max Hız (dB),46.6,45.5,48.1,60.7,60.7,65.9
,,,,,,
FİZİKSEL ÖZELLİKLER,,,,,,
Ağırlık (kg),3.8,3.6,5.4,8.6,13.4,28.3
Yükseklik A (mm),210,210,232,322.5,318,415.5
Toplam Yükseklik B (mm),294.6,294.6,320.6,417.6,411.9,557.8
Uzunluk C (mm),639,504.5,685,625.5,751.5,940
Bağlantı Çapı D (mm),97,122,147,194.5,243,307
