Özellik,LINEO 100 QUIET,LINEO 125 QUIET,LINEO 150 QUIET,LINEO 200 QUIET,LINEO 250 QUIET,LINEO 315 QUIET
Ürün Kodu,17160,17161,17162,17164,17165,17166
Nominal Çap (mm),100,125,150,200,250,315
Maksimum Debi 50Hz (m³/h),260,320,510,1160,1550,2890
Maksimum Debi 60Hz (m³/h),250,290,430,1210,1720,3180
Maksimum Basınç 50Hz (Pa),108,137.3,210.9,284.4,,
Minimum Ses Seviyesi (dB(A)),34.1,36.2,39.0,57.4,49.5,58.5
Maksimum Ses Seviyesi (dB(A)),43.2,45.5,49.2,67.5,60.7,65.9
Minimum Güç Tüketimi (W),9,11,24,80,95,215
Maksimum Güç Tüketimi (W),23,27,50,110,150,360
Ağırlık (kg),3.4,3.6,5.4,8.6,13.4,28.3
Boyut A (mm),210,210,232,322.5,318,415.5
Boyut B (mm),294.6,294.6,320.5,417.5,412,496.5
Boyut C (mm),504.5,504.5,685,625.5,751.5,940
IP Koruma,IP45,IP45,IP45,IPX5,IPX5,IPX5
Motor Ömrü (saat),30.000+,30.000+,30.000+,30.000+,30.000+,30.000+
Voltaj (V),220-240,220-240,220-240,220-240,220-240,220-240
Frekans (Hz),50-60,50-60,50-60,50-60,50-60,50-60
Hız Sayısı,3,3,3,3,3,3
Hedef Alan (m²),2-4,4-6,8-12,25-40,40-70,70-120
Kullanım Tipi,Konut,Konut,Konut/Küçük Ticari,Ticari,Ticari/Endüstriyel,Endüstriyel
Timer Versiyonu,Var (17190),Var (17191),Var (17192),Var (17193),Yok,Yok
Fiyat Aralığı (TL),-,-,-,-,-,-
