sku;urun;alan;birim;bizim_deger;bizim_kaynak;uretici_deger;fark;fark_yuzde;kaynak_belge;kaynak_sayfa;kaynak_turu;alinti;hukum;not
AVE-ENKEC155;ENKELFAN 155 EEC;debi (kaynakta tanımsız: Air flow);m³/h;460;AVenS fiyat listesi 2026 s.49: ENKEC 155 | ENKELFAN 155 EEC | 460 m³/h;460;0;0;markalar/avens/plug-fanlar-enkelfan/01-input/82f7f-cata-logo-plug-fans_casals.pdf;16;üretici;ENKEC155 | ENKELFAN 155 EEC | 3950 | 0,25 | 0,06 | 460 | 46 | 3 | 1;aynı;"kaynak ""Air flow"" diyor: en yüksek debi mi çalışma noktası mı belirtilmemiş — AVenS'e sorulur"
AVE-ENKEC155;ENKELFAN 155 EEC;devir;d/dk;3950;canlı teknik veri;3950;0;0;markalar/avens/plug-fanlar-enkelfan/01-input/82f7f-cata-logo-plug-fans_casals.pdf;16;üretici;ENKEC155 | ENKELFAN 155 EEC | 3950 | 0,25 | 0,06 | 460 | 46 | 3 | 1;aynı;
AVE-ENKEC155;ENKELFAN 155 EEC;üretici kodu;;ENKEC155;AVenS fiyat listesi 2026 s.49;ENKEC155;;;markalar/avens/plug-fanlar-enkelfan/01-input/82f7f-cata-logo-plug-fans_casals.pdf;16;üretici;ENKEC155 | ENKELFAN 155 EEC | 3950 | 0,25 | 0,06 | 460 | 46 | 3 | 1;aynı;kod farkı: sürüm farkı mı yazım hatası mı — AVenS'e sorulur
AVE-ENKEC190;ENKELFAN 190 EEC;debi (kaynakta tanımsız: Air flow);m³/h;760;AVenS fiyat listesi 2026 s.49: ENKEC 190 | ENKELFAN 190 EEC | 760 m³/h;760;0;0;markalar/avens/plug-fanlar-enkelfan/01-input/82f7f-cata-logo-plug-fans_casals.pdf;16;üretici;ENKEC190 | ENKELFAN 190 EEC | 3570 | 0,6 | 0,09 | 760 | 49 | 4,5 | 1;aynı;"kaynak ""Air flow"" diyor: en yüksek debi mi çalışma noktası mı belirtilmemiş — AVenS'e sorulur"
AVE-ENKEC190;ENKELFAN 190 EEC;devir;d/dk;3570;canlı teknik veri;3570;0;0;markalar/avens/plug-fanlar-enkelfan/01-input/82f7f-cata-logo-plug-fans_casals.pdf;16;üretici;ENKEC190 | ENKELFAN 190 EEC | 3570 | 0,6 | 0,09 | 760 | 49 | 4,5 | 1;aynı;
AVE-ENKEC190;ENKELFAN 190 EEC;üretici kodu;;ENKEC190;AVenS fiyat listesi 2026 s.49;ENKEC190;;;markalar/avens/plug-fanlar-enkelfan/01-input/82f7f-cata-logo-plug-fans_casals.pdf;16;üretici;ENKEC190 | ENKELFAN 190 EEC | 3570 | 0,6 | 0,09 | 760 | 49 | 4,5 | 1;aynı;kod farkı: sürüm farkı mı yazım hatası mı — AVenS'e sorulur
AVE-ENKEC250;ENKELFAN 250 EEC;debi (kaynakta tanımsız: Air flow);m³/h;1640;AVenS fiyat listesi 2026 s.49: ENKEC 250 | ENKELFAN 250 EEC | 1640 m³/h;1640;0;0;markalar/avens/plug-fanlar-enkelfan/01-input/82f7f-cata-logo-plug-fans_casals.pdf;16;üretici;ENKEC250 | ENKELFAN 250 EEC | 2500 | 1 | 0,15 | 1.640 | 51 | 7,5 | 1;aynı;"kaynak ""Air flow"" diyor: en yüksek debi mi çalışma noktası mı belirtilmemiş — AVenS'e sorulur"
AVE-ENKEC250;ENKELFAN 250 EEC;devir;d/dk;2500;canlı teknik veri;2500;0;0;markalar/avens/plug-fanlar-enkelfan/01-input/82f7f-cata-logo-plug-fans_casals.pdf;16;üretici;ENKEC250 | ENKELFAN 250 EEC | 2500 | 1 | 0,15 | 1.640 | 51 | 7,5 | 1;aynı;
AVE-ENKEC250;ENKELFAN 250 EEC;üretici kodu;;ENKEC250;AVenS fiyat listesi 2026 s.49;ENKEC250;;;markalar/avens/plug-fanlar-enkelfan/01-input/82f7f-cata-logo-plug-fans_casals.pdf;16;üretici;ENKEC250 | ENKELFAN 250 EEC | 2500 | 1 | 0,15 | 1.640 | 51 | 7,5 | 1;aynı;kod farkı: sürüm farkı mı yazım hatası mı — AVenS'e sorulur
AVE-ENKEC310;ENKELFAN 310 EEC;debi (kaynakta tanımsız: Air flow);m³/h;3160;AVenS fiyat listesi 2026 s.49: ENKEC 310 | ENKELFAN 310 EEC | 3160 m³/h;3160;0;0;markalar/avens/plug-fanlar-enkelfan/01-input/82f7f-cata-logo-plug-fans_casals.pdf;16;üretici;ENKEC310 | ENKELFAN 310 EEC | 2350 | 1,7 | 0,36 | 3.160 | 55 | 13 | 2;aynı;"kaynak ""Air flow"" diyor: en yüksek debi mi çalışma noktası mı belirtilmemiş — AVenS'e sorulur"
