sku;ad;dal;marka;aile_bugun;aile_yeni;slug_bugun;eski_ek_slug;slug_tr;slug_en;adres_tr;adres_en;uzunluk_tr;not
AVE-01801;AVenS 5 A HIZ ANAHTARI;speed-controllers;avens;avens-hiz-anahtarlari;avens-hiz-anahtarlari;avens-5-a-hiz-anahtari-01801;;avens-5a-hiz-anahtari;avens-5a-speed-controller;/tr/urun/avens-5a-hiz-anahtari-p-ave-01801;/en/products/avens-5a-speed-controller-p-ave-01801;21;
AVE-11560;QE-B I;bathroom-toilet-fans;avens;avens-qe-b-kasa;avens-qe-b-kasa-serisi;qe-b-i-11560;;avens-qe-b-i-banyo-fani;avens-qe-b-i-bathroom-fan;/tr/urun/avens-qe-b-i-banyo-fani-p-ave-11560;/en/products/avens-qe-b-i-bathroom-fan-p-ave-11560;23;specs-bos
AVE-11561;QE-B M;bathroom-toilet-fans;avens;avens-qe-b-kasa;avens-qe-b-kasa-serisi;qe-b-m-11561;;avens-qe-b-m-banyo-fani;avens-qe-b-m-bathroom-fan;/tr/urun/avens-qe-b-m-banyo-fani-p-ave-11561;/en/products/avens-qe-b-m-bathroom-fan-p-ave-11561;23;specs-bos
AVE-11562;QE-B I VK90;bathroom-toilet-fans;avens;avens-qe-b-kasa;avens-qe-b-kasa-serisi;qe-b-i-vk90-11562;;avens-qe-b-i-vk90-banyo-fani;avens-qe-b-i-vk90-bathroom-fan;/tr/urun/avens-qe-b-i-vk90-banyo-fani-p-ave-11562;/en/products/avens-qe-b-i-vk90-bathroom-fan-p-ave-11562;28;specs-bos
AVE-11563;QE-B M VK90;bathroom-toilet-fans;avens;avens-qe-b-kasa;avens-qe-b-kasa-serisi;qe-b-m-vk90-11563;;avens-qe-b-m-vk90-banyo-fani;avens-qe-b-m-vk90-bathroom-fan;/tr/urun/avens-qe-b-m-vk90-banyo-fani-p-ave-11563;/en/products/avens-qe-b-m-vk90-bathroom-fan-p-ave-11563;28;specs-bos
AVE-11564;QE-B I K90 R;bathroom-toilet-fans;avens;avens-qe-b-kasa;avens-qe-b-kasa-serisi;qe-b-i-k90-r-11564;;avens-qe-b-i-k90-r-banyo-fani;avens-qe-b-i-k90-r-bathroom-fan;/tr/urun/avens-qe-b-i-k90-r-banyo-fani-p-ave-11564;/en/products/avens-qe-b-i-k90-r-bathroom-fan-p-ave-11564;29;specs-bos
AVE-11565;QE-B I K90 S;bathroom-toilet-fans;avens;avens-qe-b-kasa;avens-qe-b-kasa-serisi;qe-b-i-k90-s-11565;;avens-qe-b-i-k90-s-banyo-fani;avens-qe-b-i-k90-s-bathroom-fan;/tr/urun/avens-qe-b-i-k90-s-banyo-fani-p-ave-11565;/en/products/avens-qe-b-i-k90-s-bathroom-fan-p-ave-11565;29;specs-bos
AVE-11566;QE-B I K90 R 2R;bathroom-toilet-fans;avens;avens-qe-b-kasa;avens-qe-b-kasa-serisi;qe-b-i-k90-r-2r-11566;;avens-qe-b-i-k90-r-2r-banyo-fani;avens-qe-b-i-k90-r-2r-bathroom-fan;/tr/urun/avens-qe-b-i-k90-r-2r-banyo-fani-p-ave-11566;/en/products/avens-qe-b-i-k90-r-2r-bathroom-fan-p-ave-11566;32;specs-bos
AVE-11567;QE-B I K90 R 2L;bathroom-toilet-fans;avens;avens-qe-b-kasa;avens-qe-b-kasa-serisi;qe-b-i-k90-r-2l-11567;;avens-qe-b-i-k90-r-2l-banyo-fani;avens-qe-b-i-k90-r-2l-bathroom-fan;/tr/urun/avens-qe-b-i-k90-r-2l-banyo-fani-p-ave-11567;/en/products/avens-qe-b-i-k90-r-2l-bathroom-fan-p-ave-11567;32;specs-bos
AVE-11568;QE-B I K90 S 2R;bathroom-toilet-fans;avens;avens-qe-b-kasa;avens-qe-b-kasa-serisi;qe-b-i-k90-s-2r-11568;;avens-qe-b-i-k90-s-2r-banyo-fani;avens-qe-b-i-k90-s-2r-bathroom-fan;/tr/urun/avens-qe-b-i-k90-s-2r-banyo-fani-p-ave-11568;/en/products/avens-qe-b-i-k90-s-2r-bathroom-fan-p-ave-11568;32;specs-bos
